playerName,Age,gamesPlayed,gamesStarted,minutesPG,fieldGoal,fgAttempt,fgPer,three,threeptAttempt,threePer,twoPoint,twoPointAtt,twoPer,effFG,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
LeBron James,36,45,45,33.4,9.4,18.3,0.513,2.3,6.3,0.365,7.1,12,0.591,0.576,4,5.7,0.698,0.6,7,7.7,7.8,1.1,0.6,3.7,1.6,25
Anthony Davis,27,36,36,32.3,8.4,17,0.491,0.7,2.8,0.26,7.6,14.3,0.536,0.512,4.4,5.9,0.738,1.7,6.2,7.9,3.1,1.3,1.6,2.1,1.7,21.8
Dennis Schröder,27,61,61,32.1,5.4,12.5,0.437,1.2,3.5,0.335,4.3,9,0.476,0.484,3.4,4,0.848,0.5,3,3.5,5.8,1.1,0.2,2.7,2.6,15.4
Kyle Kuzma,25,68,32,28.7,4.9,11.1,0.443,2,5.6,0.361,2.9,5.5,0.525,0.533,1,1.4,0.691,1.6,4.5,6.1,1.9,0.5,0.6,1.7,1.8,12.9
Kentavious Caldwell-Pope,27,67,67,28.4,3.3,7.6,0.431,1.8,4.4,0.41,1.5,3.2,0.46,0.549,1.4,1.7,0.866,0.4,2.3,2.7,1.9,0.9,0.4,1,1.7,9.7
Andre Drummond,27,21,21,24.8,4.9,9.1,0.531,0,0,,4.9,9.1,0.531,0.531,2.2,3.6,0.605,3.1,7.1,10.2,1.4,1.1,1,2,3.8,11.9
Montrezl Harrell,27,69,1,22.9,5.4,8.7,0.622,0,0.1,0,5.4,8.6,0.632,0.622,2.6,3.7,0.707,2.3,3.9,6.2,1.1,0.7,0.7,1.1,1.9,13.5
Alex Caruso,26,58,6,21,2.3,5.3,0.436,0.9,2.4,0.401,1.3,2.9,0.464,0.526,0.8,1.3,0.645,0.5,2.4,2.9,2.8,1.1,0.3,1.3,1.9,6.4
Talen Horton-Tucker,20,65,4,20.1,3.4,7.5,0.458,0.6,2,0.282,2.9,5.5,0.522,0.496,1.5,2,0.775,0.4,2.2,2.6,2.8,1,0.3,1.6,2,9
Markieff Morris,31,61,27,19.7,2.5,6.2,0.405,1.1,3.4,0.311,1.4,2.8,0.521,0.491,0.6,0.8,0.72,0.8,3.6,4.4,1.2,0.4,0.3,0.9,1.7,6.7
Wesley Matthews,34,58,10,19.5,1.5,4.3,0.353,1.1,3.4,0.335,0.4,0.9,0.418,0.484,0.6,0.7,0.854,0.3,1.3,1.6,0.9,0.7,0.3,0.4,1.4,4.8
Marc Gasol,36,52,42,19.1,1.7,3.7,0.454,1,2.3,0.41,0.7,1.4,0.528,0.582,0.7,1,0.72,0.7,3.4,4.1,2.1,0.5,1.1,1,2.2,5
Ben McLemore,27,21,1,17.5,2.6,6.7,0.39,2,5.4,0.368,0.6,1.3,0.481,0.539,0.8,1,0.762,0.2,1.4,1.6,0.5,0.1,0.3,0.7,1.8,8
Damian Jones,25,8,6,14,2,2.1,0.941,0,0,,2,2.1,0.941,0.941,1.4,1.5,0.917,1,2.3,3.3,0.1,0.1,0.9,0.6,2.8,5.4
Jared Dudley,35,12,0,6.8,0.2,0.8,0.222,0.2,0.5,0.333,0,0.3,0,0.333,0,0,,0.3,1.4,1.8,0.4,0.1,0.1,0.2,0.6,0.5
Alfonzo McKinnie,28,39,0,6.6,1.2,2.4,0.516,0.4,1,0.41,0.8,1.4,0.593,0.602,0.3,0.5,0.556,0.6,0.8,1.4,0.2,0.2,0,0.1,0.7,3.1
Devontae Cacok,24,20,1,4.9,0.9,1.5,0.586,0,0,,0.9,1.5,0.586,0.586,0.3,0.6,0.455,0.6,1,1.6,0.1,0.3,0.2,0.3,0.4,2
Quinn Cook,27,16,0,3.9,0.8,1.6,0.462,0.3,0.8,0.385,0.4,0.8,0.538,0.558,0.3,0.3,0.8,0,0.3,0.3,0.3,0.1,0.1,0.2,0.1,2.1
Kostas Antetokounmpo,23,15,0,3.7,0.2,0.7,0.3,0,0,,0.2,0.7,0.3,0.3,0.4,0.9,0.462,0.3,1,1.3,0.1,0.1,0.3,0.7,0.5,0.8